,age,c_weight,course,date,field,gender,head_count,horse_name,j_weight,jackie,odds,popu,race,race_name,rank,trainerA,trainerB,weight,year
20180501010100,3,+2,ダ1400m,1/27(土),東京,牝,16頭,マサノカバーガール,54.0,石橋脩,22.9,8,1R,３歳未勝利,1,美浦,小笠,450,2018.0
20180501010101,3,+12,ダ1400m,1/27(土),東京,牝,16頭,ロジヒューズ,54.0,内田博,5.8,4,1R,３歳未勝利,2,美浦,古賀慎,474,2018.0
20180501010102,3,-2,ダ1400m,1/27(土),東京,牝,16頭,レユシット,54.0,戸崎圭,5.6,3,1R,３歳未勝利,3,美浦,矢野,456,2018.0
20180501010103,3,-2,ダ1400m,1/27(土),東京,牝,16頭,エリープラネット,54.0,三浦,8.7,5,1R,３歳未勝利,4,美浦,天間,424,2018.0
20180501010104,3,0,ダ1400m,1/27(土),東京,牝,16頭,サイモンジルバ,54.0,大野,9.1,6,1R,３歳未勝利,5,美浦,根本,460,2018.0
20180501010105,3,-12,ダ1400m,1/27(土),東京,牝,16頭,パリスハート,54.0,吉田隼,3.5,1,1R,３歳未勝利,6,美浦,小笠,448,2018.0
20180501010106,3,-12,ダ1400m,1/27(土),東京,牝,16頭,アネラ,54.0,北村宏,53.8,9,1R,３歳未勝利,7,美浦,高橋博,436,2018.0
20180501010107,3,-4,ダ1400m,1/27(土),東京,牝,16頭,セントオブウーマン,51.0,▲武藤,22.0,7,1R,３歳未勝利,8,美浦,水野,410,2018.0
20180501010108,3,-2,ダ1400m,1/27(土),東京,牝,16頭,ゼットイーリス,54.0,柴田大,4.0,2,1R,３歳未勝利,9,美浦,伊藤大,466,2018.0
20180501010109,3,0,ダ1400m,1/27(土),東京,牝,16頭,ホリーセクション,54.0,嘉藤,108.5,10,1R,３歳未勝利,10,美浦,田中清,412,2018.0
20180501010110,3,0,ダ1400m,1/27(土),東京,牝,16頭,チョウヨウ,54.0,丹内,169.9,13,1R,３歳未勝利,11,美浦,小桧山,446,2018.0
20180501010111,3,+10,ダ1400m,1/27(土),東京,牝,16頭,サクラトップライフ,54.0,西田,155.9,11,1R,３歳未勝利,12,美浦,武市,452,2018.0
20180501010112,3,-2,ダ1400m,1/27(土),東京,牝,16頭,カシノリヤン,54.0,二本柳,338.7,16,1R,３歳未勝利,13,美浦,二本柳,462,2018.0
20180501010113,3,-4,ダ1400m,1/27(土),東京,牝,16頭,カガトゥインクル,54.0,岩部,304.3,15,1R,３歳未勝利,14,美浦,萱野,432,2018.0
20180501010114,3,+2,ダ1400m,1/27(土),東京,牝,16頭,ニシノステップ,54.0,木幡広,252.8,14,1R,３歳未勝利,15,美浦,杉浦,450,2018.0
