,age,c_weight,course,date,field,gender,head_count,horse_name,j_weight,jackie,odds,popu,race,race_name,rank,trainerA,trainerB,weight,year
20180501010115,3,0,ダ1400m,1/27(土),東京,牝,16頭,ブラッチョ,54.0,宮崎,165.1,12,1R,３歳未勝利,16,美浦,青木,448,2018.0
20180501020100,3,-8,ダ1300m,1/28(日),東京,牡,16頭,キョウエイオビエド,56.0,北村宏,10.5,4,1R,３歳未勝利,1,美浦,勢司,470,2018.0
20180501020101,3,-2,ダ1300m,1/28(日),東京,牡,16頭,オペラカイジン,53.0,▲武藤,4.3,2,1R,３歳未勝利,2,美浦,小西,468,2018.0
20180501020102,3,-10,ダ1300m,1/28(日),東京,牡,16頭,シセイタケル,56.0,吉田隼,13.2,5,1R,３歳未勝利,3,美浦,高橋文,466,2018.0
20180501020103,3,-4,ダ1300m,1/28(日),東京,牡,16頭,ザイオン,56.0,田辺,4.5,3,1R,３歳未勝利,4,美浦,相沢,462,2018.0
20180501020104,3,0,ダ1300m,1/28(日),東京,牡,16頭,アテンコール,56.0,内田博,33.8,9,1R,３歳未勝利,5,美浦,天間,452,2018.0
20180501020105,3,+4,ダ1300m,1/28(日),東京,牡,16頭,タイセイレーベン,56.0,柴田善,19.3,7,1R,３歳未勝利,6,美浦,菊川,522,2018.0
20180501020106,3,-2,ダ1300m,1/28(日),東京,牡,16頭,アスクヴェリウェル,56.0,岩田,20.3,8,1R,３歳未勝利,7,美浦,中舘,450,2018.0
20180501020107,3,+8,ダ1300m,1/28(日),東京,牡,16頭,オリエンタルボーン,53.0,▲野中,88.3,12,1R,３歳未勝利,8,美浦,大江原,476,2018.0
20180501020108,3,+16,ダ1300m,1/28(日),東京,牡,16頭,エコロインパクト,56.0,津村,69.2,11,1R,３歳未勝利,9,美浦,鈴木伸,494,2018.0
20180501020109,3,+2,ダ1300m,1/28(日),東京,牡,16頭,ユメイチズ,56.0,松岡,2.7,1,1R,３歳未勝利,10,美浦,浅野,480,2018.0
20180501020110,3,-4,ダ1300m,1/28(日),東京,牡,16頭,テンポディヴァルス,55.0,☆木幡初,13.6,6,1R,３歳未勝利,11,美浦,矢野,444,2018.0
20180501020111,3,+28,ダ1300m,1/28(日),東京,牡,16頭,コンノートヒューズ,56.0,戸崎圭,46.0,10,1R,３歳未勝利,12,美浦,谷原,506,2018.0
20180501020112,3,+4,ダ1300m,1/28(日),東京,牡,16頭,ラッキーユー,56.0,江田照,201.7,13,1R,３歳未勝利,13,美浦,中川,460,2018.0
20180501020113,3,+10,ダ1300m,1/28(日),東京,牡,16頭,エムオーセイコー,56.0,丹内,527.8,16,1R,３歳未勝利,14,美浦,尾形和,496,2018.0
20180501020114,3,-6,ダ1300m,1/28(日),東京,牝,16頭,ミスベル,54.0,黛,249.4,15,1R,３歳未勝利,15,美浦,伊藤正,414,2018.0
20180501020115,3,+30,ダ1300m,1/28(日),東京,牡,16頭,プラチナウィーク,56.0,嘉藤,223.0,14,1R,３歳未勝利,16,美浦,加藤和,512,2018.0
20180501030100,3,+4,ダ1300m,2/3(土),東京,牝,16頭,プリームムロジンカ,54.0,戸崎圭,4.4,2,1R,３歳未勝利,1,美浦,高橋裕,460,2018.0
20180501030101,3,0,ダ1300m,2/3(土),東京,牝,16頭,フルネス,54.0,柴田善,7.7,6,1R,３歳未勝利,2,美浦,田島,450,2018.0
20180501030102,3,+6,ダ1300m,2/3(土),東京,牝,16頭,カレイドスコープ,54.0,吉田隼,26.6,7,1R,３歳未勝利,3,美浦,菊沢,468,2018.0
20180501030103,3,0,ダ1300m,2/3(土),東京,牝,16頭,ローズピルグリム,51.0,▲藤田菜,70.2,12,1R,３歳未勝利,4,美浦,蛯名,420,2018.0
20180501030104,3,0,ダ1300m,2/3(土),東京,牝,16頭,シングシングシング,54.0,大野,46.1,9,1R,３歳未勝利,5,美浦,新開,456,2018.0
20180501030105,3,+4,ダ1300m,2/3(土),東京,牝,16頭,カシマフウリン,54.0,田辺,5.2,3,1R,３歳未勝利,6,美浦,奥村武,478,2018.0
20180501030106,3,+2,ダ1300m,2/3(土),東京,牝,16頭,エルモアレッタ,51.0,▲野中,4.3,1,1R,３歳未勝利,7,美浦,小西,458,2018.0
20180501030107,3,+14,ダ1300m,2/3(土),東京,牝,16頭,ロージズラヴ,54.0,木幡広,139.6,14,1R,３歳未勝利,8,美浦,杉浦,444,2018.0
20180501030108,3,+14,ダ1300m,2/3(土),東京,牝,16頭,プロローグ,51.0,▲武藤,68.7,11,1R,３歳未勝利,9,美浦,松永康,480,2018.0
20180501030109,3,+16,ダ1300m,2/3(土),東京,牝,16頭,ベリッシマ,54.0,横山典,45.1,8,1R,３歳未勝利,10,美浦,武井,476,2018.0
20180501030110,3,+4,ダ1300m,2/3(土),東京,牝,16頭,ブチャコ,53.0,☆木幡巧,6.8,5,1R,３歳未勝利,11,美浦,牧,504,2018.0
20180501030111,3,+2,ダ1300m,2/3(土),東京,牝,16頭,ファンダンゴ,54.0,松岡,195.8,15,1R,３歳未勝利,12,美浦,伊藤伸,434,2018.0
20180501030112,3,+4,ダ1300m,2/3(土),東京,牝,16頭,ムテキノオジョウ,54.0,三浦,5.7,4,1R,３歳未勝利,13,美浦,小野,444,2018.0
20180501030113,3,+2,ダ1300m,2/3(土),東京,牝,16頭,ハッピーリフレイン,54.0,嶋田,342.9,16,1R,３歳未勝利,14,美浦,南田,412,2018.0
20180501030114,3,0,ダ1300m,2/3(土),東京,牝,16頭,ニシノシノブ,54.0,江田照,76.7,13,1R,３歳未勝利,15,美浦,本間,440,2018.0
20180501030115,3,-2,ダ1300m,2/3(土),東京,牝,16頭,ゴムマリ,54.0,柴山,68.6,10,1R,３歳未勝利,中止,美浦,浅野,458,2018.0
20180501040100,3,+4,ダ1400m,2/4(日),東京,牡,16頭,ピオレドール,56.0,大野,10.9,5,1R,３歳未勝利,1,美浦,小笠,470,2018.0
20180501040101,3,+2,ダ1400m,2/4(日),東京,牡,16頭,クリムズンフラッグ,56.0,宮崎,3.0,1,1R,３歳未勝利,2,美浦,青木,516,2018.0
20180501040102,3,+8,ダ1400m,2/4(日),東京,牡,16頭,ヴィーダ,56.0,柴山,132.0,10,1R,３歳未勝利,3,美浦,清水英,432,2018.0
20180501040103,3,0,ダ1400m,2/4(日),東京,牡,16頭,シシハクト,56.0,戸崎圭,11.9,6,1R,３歳未勝利,4,美浦,加藤征,488,2018.0
20180501040104,3,+4,ダ1400m,2/4(日),東京,牡,16頭,ウサギノダンス,56.0,柴田大,17.8,7,1R,３歳未勝利,5,美浦,南田,480,2018.0
20180501040105,3,-2,ダ1400m,2/4(日),東京,牡,16頭,バットオールソー,56.0,田辺,4.1,3,1R,３歳未勝利,6,美浦,大和田,454,2018.0
20180501040106,3,-6,ダ1400m,2/4(日),東京,牡,16頭,デルマカミカゼ,53.0,▲横山武,175.5,11,1R,３歳未勝利,7,美浦,小野,452,2018.0
20180501040107,3,+4,ダ1400m,2/4(日),東京,牝,16頭,インコントロ,53.0,☆木幡巧,346.4,14,1R,３歳未勝利,8,美浦,田島,438,2018.0
20180501040108,3,-2,ダ1400m,2/4(日),東京,牡,16頭,ナイトジュレップ,56.0,池添,35.1,8,1R,３歳未勝利,9,美浦,国枝,480,2018.0
20180501040109,3,+4,ダ1400m,2/4(日),東京,牡,16頭,プラズマディライト,53.0,▲野中,486.6,16,1R,３歳未勝利,10,美浦,中舘,438,2018.0
20180501040110,3,-4,ダ1400m,2/4(日),東京,牝,16頭,タイガーアイ,54.0,武士沢,106.4,9,1R,３歳未勝利,11,美浦,堀井,404,2018.0
20180501040111,3,+2,ダ1400m,2/4(日),東京,牝,16頭,セイウンアカマイ,51.0,▲武藤,7.4,4,1R,３歳未勝利,12,美浦,上原,456,2018.0
20180501040112,3,0,ダ1400m,2/4(日),東京,牡,16頭,ミスティカル,56.0,横山典,4.0,2,1R,３歳未勝利,13,美浦,田村,466,2018.0
20180501040113,3,+4,ダ1400m,2/4(日),東京,牝,16頭,ミフラーブ,54.0,嘉藤,290.6,13,1R,３歳未勝利,14,美浦,高橋祥,490,2018.0
20180501040114,3,+16,ダ1400m,2/4(日),東京,牡,16頭,ククリナイフ,56.0,大庭,460.2,15,1R,３歳未勝利,15,美浦,谷原,444,2018.0
20180501040115,3,-6,ダ1400m,2/4(日),東京,牝,16頭,ソウシソウアイ,53.0,☆木幡初,276.7,12,1R,３歳未勝利,16,美浦,天間,462,2018.0
20180501050100,3,0,ダ1400m,2/11(日),東京,牝,16頭,ウインメディウム,54.0,ミナリ,8.7,6,1R,３歳未勝利,1,美浦,田中剛,488,2018.0
20180501050101,3,-8,ダ1400m,2/11(日),東京,牝,16頭,クインズティガ,54.0,黛,5.9,3,1R,３歳未勝利,2,美浦,奥平,458,2018.0
20180501050102,3,+2,ダ1400m,2/11(日),東京,牝,16頭,サンメイコン,54.0,松岡,6.1,4,1R,３歳未勝利,3,美浦,鹿戸,452,2018.0
20180501050103,3,-4,ダ1400m,2/11(日),東京,牝,16頭,サイモンジルバ,54.0,大野,30.4,10,1R,３歳未勝利,4,美浦,根本,456,2018.0
20180501050104,3,+8,ダ1400m,2/11(日),東京,牝,16頭,イザベルローズ,54.0,戸崎圭,4.8,2,1R,３歳未勝利,5,美浦,栗田徹,450,2018.0
20180501050105,3,-4,ダ1400m,2/11(日),東京,牝,16頭,ポートナイトサイト,54.0,柴田大,8.1,5,1R,３歳未勝利,6,美浦,伊藤大,462,2018.0
20180501050106,3,0,ダ1400m,2/11(日),東京,牝,16頭,ラプターゲイル,54.0,丹内,75.0,12,1R,３歳未勝利,7,美浦,金成,434,2018.0
20180501050107,3,-6,ダ1400m,2/11(日),東京,牝,16頭,レユシット,54.0,内田博,11.4,7,1R,３歳未勝利,8,美浦,矢野,450,2018.0
20180501050108,3,0,ダ1400m,2/11(日),東京,牝,16頭,アンシンカブル,54.0,北村宏,108.0,13,1R,３歳未勝利,9,美浦,柴田人,422,2018.0
20180501050109,3,-2,ダ1400m,2/11(日),東京,牝,16頭,ハクサンレモン,54.0,吉原寛,25.3,9,1R,３歳未勝利,10,美浦,古賀史,450,2018.0
20180501050110,3,-8,ダ1400m,2/11(日),東京,牝,16頭,ディーズパーチェス,51.0,▲武藤,157.8,15,1R,３歳未勝利,11,美浦,伊藤圭,424,2018.0
20180501050111,3,-8,ダ1400m,2/11(日),東京,牝,16頭,ドクターデューン,54.0,柴田善,21.1,8,1R,３歳未勝利,12,美浦,菊沢,468,2018.0
20180501050112,3,+2,ダ1400m,2/11(日),東京,牝,16頭,スマイルサンティエ,54.0,柴山,148.3,14,1R,３歳未勝利,13,美浦,黒岩,480,2018.0
20180501050113,3,+8,ダ1400m,2/11(日),東京,牝,16頭,フラミンゴ,54.0,四位,4.6,1,1R,３歳未勝利,14,美浦,武井,454,2018.0
20180501050114,3,0,ダ1400m,2/11(日),東京,牝,16頭,トーセンプラウド,54.0,津村,56.1,11,1R,３歳未勝利,15,美浦,小笠,468,2018.0
20180501050115,3,-16,ダ1400m,2/11(日),東京,牝,16頭,ティアマト,54.0,岩部,296.7,16,1R,３歳未勝利,16,美浦,相沢,398,2018.0
20180501060100,3,+2,ダ1400m,2/12(月),東京,牡,16頭,ザイオン,56.0,田辺,4.3,3,1R,３歳未勝利,1,美浦,相沢,464,2018.0
20180501060101,3,+4,ダ1400m,2/12(月),東京,牝,16頭,ディアバビアナ,54.0,戸崎圭,4.1,2,1R,３歳未勝利,2,美浦,高橋裕,480,2018.0
20180501060102,3,-6,ダ1400m,2/12(月),東京,牝,16頭,グラスルーナ,54.0,木幡広,48.7,9,1R,３歳未勝利,3,美浦,杉浦,486,2018.0
20180501060103,3,+2,ダ1400m,2/12(月),東京,牡,16頭,レアバード,56.0,田中勝,2.8,1,1R,３歳未勝利,4,美浦,高市,520,2018.0
20180501060104,3,+28,ダ1400m,2/12(月),東京,牡,16頭,オレノマニラ,56.0,柴田善,48.8,10,1R,３歳未勝利,5,美浦,土田,432,2018.0
20180501060105,3,-4,ダ1400m,2/12(月),東京,牝,16頭,ファシナンテ,54.0,柴田大,11.2,5,1R,３歳未勝利,6,美浦,池上弘,466,2018.0
20180501060106,3,0,ダ1400m,2/12(月),東京,牡,16頭,アノマリー,56.0,津村,9.1,4,1R,３歳未勝利,7,美浦,岩戸,492,2018.0
20180501060107,3,+18,ダ1400m,2/12(月),東京,牡,16頭,テイエムヘニーズ,56.0,横山典,24.6,7,1R,３歳未勝利,8,美浦,石栗,500,2018.0
20180501060108,3,+4,ダ1400m,2/12(月),東京,牡,16頭,ボンテン,56.0,江田照,226.5,15,1R,３歳未勝利,9,美浦,大江原,450,2018.0
20180501060109,3,+12,ダ1400m,2/12(月),東京,牡,16頭,グランエクシト,56.0,内田博,40.6,8,1R,３歳未勝利,10,美浦,高橋文,484,2018.0
20180501060110,3,0,ダ1400m,2/12(月),東京,牡,16頭,オンベンデッドニー,56.0,勝浦,68.8,11,1R,３歳未勝利,11,美浦,南田,468,2018.0
20180501060111,3,+6,ダ1400m,2/12(月),東京,牝,16頭,ペティヤン,54.0,杉原,97.1,12,1R,３歳未勝利,12,美浦,佐藤吉,450,2018.0
20180501060112,3,-12,ダ1400m,2/12(月),東京,牝,16頭,ジャストアキッス,51.0,▲武藤,139.1,14,1R,３歳未勝利,13,美浦,武藤,482,2018.0
20180501060113,3,-8,ダ1400m,2/12(月),東京,牝,16頭,マオノキャッツアイ,51.0,▲野中,139.1,13,1R,３歳未勝利,14,美浦,黒岩,454,2018.0
20180501060114,3,-4,ダ1400m,2/12(月),東京,牡,16頭,ドラゴンホール,56.0,三浦,12.4,6,1R,３歳未勝利,15,美浦,小笠,470,2018.0
20180501060115,3,-6,ダ1400m,2/12(月),東京,牝,16頭,デルマシェリー,54.0,的場,436.5,16,1R,３歳未勝利,16,美浦,的場,438,2018.0
20180501070100,3,+4,ダ1300m,2/17(土),東京,牝,16頭,ロジヒューズ,54.0,内田博,3.7,1,1R,３歳未勝利,1,美浦,古賀慎,478,2018.0
20180501070101,3,-6,ダ1300m,2/17(土),東京,牝,16頭,アポロアミ,54.0,津村,4.8,2,1R,３歳未勝利,2,美浦,矢野,432,2018.0
20180501070102,3,+4,ダ1300m,2/17(土),東京,牝,16頭,レインボーボニート,54.0,戸崎圭,6.2,3,1R,３歳未勝利,3,美浦,菊沢,460,2018.0
20180501070103,3,-12,ダ1300m,2/17(土),東京,牝,16頭,タマノパルフェット,54.0,田辺,14.3,8,1R,３歳未勝利,4,美浦,高柳瑞,466,2018.0
20180501070104,3,-2,ダ1300m,2/17(土),東京,牝,16頭,シングシングシング,54.0,ルメー,8.1,4,1R,３歳未勝利,5,美浦,新開,454,2018.0
20180501070105,3,-4,ダ1300m,2/17(土),東京,牝,16頭,エリープラネット,54.0,三浦,10.3,6,1R,３歳未勝利,6,美浦,天間,420,2018.0
20180501070106,3,+6,ダ1300m,2/17(土),東京,牝,16頭,パーラミター,54.0,松岡,9.3,5,1R,３歳未勝利,7,美浦,伊藤伸,508,2018.0
20180501070107,3,-6,ダ1300m,2/17(土),東京,牝,16頭,ブロンドキュート,54.0,田中勝,13.1,7,1R,３歳未勝利,8,美浦,松山,456,2018.0
20180501070108,3,-6,ダ1300m,2/17(土),東京,牝,16頭,ユウキャン,54.0,蛯名,16.3,9,1R,３歳未勝利,9,美浦,田中剛,468,2018.0
20180501070109,3,+2,ダ1300m,2/17(土),東京,牝,16頭,マイキャラット,54.0,柴田善,89.1,13,1R,３歳未勝利,10,美浦,小島茂,456,2018.0
20180501070110,3,+14,ダ1300m,2/17(土),東京,牝,16頭,タイセイパルフェ,54.0,北村宏,60.1,11,1R,３歳未勝利,11,美浦,池上和,450,2018.0
20180501070111,3,-4,ダ1300m,2/17(土),東京,牝,16頭,プリンセスティナ,54.0,ミナリ,43.6,10,1R,３歳未勝利,12,美浦,中舘,450,2018.0
20180501070112,3,-10,ダ1300m,2/17(土),東京,牝,16頭,クイーンディアス,51.0,▲野中,102.7,14,1R,３歳未勝利,13,美浦,黒岩,416,2018.0
20180501070113,3,0,ダ1300m,2/17(土),東京,牝,16頭,サンキャスパー,54.0,村田,209.0,16,1R,３歳未勝利,14,美浦,藤原辰,458,2018.0
20180501070114,3,0,ダ1300m,2/17(土),東京,牝,16頭,ウインソリティア,54.0,大野,73.0,12,1R,３歳未勝利,15,美浦,鹿戸,424,2018.0
20180501070115,3,+8,ダ1300m,2/17(土),東京,牝,16頭,モメンタム,52.0,△武藤,121.8,15,1R,３歳未勝利,16,美浦,田島,430,2018.0
20180501080100,3,+10,ダ1400m,2/18(日),東京,牡,16頭,ヴィグラスファイア,56.0,田辺,4.5,3,1R,３歳未勝利,1,美浦,萩原,480,2018.0
20180501080101,3,0,ダ1400m,2/18(日),東京,牝,16頭,ヒロブラッサム,52.0,△武藤,25.7,8,1R,３歳未勝利,2,美浦,大竹,486,2018.0
20180501080102,3,-6,ダ1400m,2/18(日),東京,牡,16頭,ガブリエル,56.0,福永,4.1,1,1R,３歳未勝利,3,美浦,大和田,474,2018.0
20180501080103,3,+4,ダ1400m,2/18(日),東京,牡,16頭,グラデュエイト,56.0,ルメー,4.9,4,1R,３歳未勝利,4,美浦,加藤征,502,2018.0
20180501080104,3,+2,ダ1400m,2/18(日),東京,牡,16頭,アドバンスマルス,56.0,石橋脩,9.7,5,1R,３歳未勝利,5,美浦,二ノ宮,502,2018.0
20180501080105,3,0,ダ1400m,2/18(日),東京,牡,16頭,ロトヴィグラス,56.0,戸崎圭,10.7,6,1R,３歳未勝利,6,美浦,高市,460,2018.0
20180501080106,3,+14,ダ1400m,2/18(日),東京,牡,16頭,サマーボーイ,56.0,三浦,41.8,10,1R,３歳未勝利,7,美浦,小野,498,2018.0
20180501080107,3,+14,ダ1400m,2/18(日),東京,牡,16頭,ダイヤクリーガー,56.0,岩田,4.2,2,1R,３歳未勝利,8,美浦,二ノ宮,516,2018.0
20180501080108,3,+10,ダ1400m,2/18(日),東京,牡,16頭,ランドキングスター,56.0,ミナリ,33.6,9,1R,３歳未勝利,8,美浦,本間,506,2018.0
20180501080109,3,0,ダ1400m,2/18(日),東京,牡,16頭,アテンコール,56.0,内田博,25.2,7,1R,３歳未勝利,10,美浦,天間,452,2018.0
20180501080110,3,+20,ダ1400m,2/18(日),東京,牡,16頭,シュガーボーイ,55.0,☆井上,243.9,14,1R,３歳未勝利,11,美浦,松永康,490,2018.0
20180501080111,3,0,ダ1400m,2/18(日),東京,牡,16頭,ウインオーバーカム,56.0,嘉藤,189.0,13,1R,３歳未勝利,12,美浦,鈴木伸,476,2018.0
20180501080112,3,+16,ダ1400m,2/18(日),東京,牡,16頭,セイカハタハタクモ,56.0,田中勝,164.5,11,1R,３歳未勝利,13,美浦,小野,458,2018.0
20180501080113,3,+26,ダ1400m,2/18(日),東京,牡,16頭,パシフィックロード,56.0,菅原,317.2,15,1R,３歳未勝利,14,美浦,蛯名,462,2018.0
20180501080114,3,-12,ダ1400m,2/18(日),東京,牝,16頭,フレイミングムーン,54.0,的場,395.8,16,1R,３歳未勝利,15,美浦,高橋博,454,2018.0
20180501080115,3,0,ダ1400m,2/18(日),東京,牡,16頭,ハロービギン,56.0,古川,183.5,12,1R,３歳未勝利,16,美浦,石栗,452,2018.0
